id_alerta_evento,tipo_evento,codigo_alerta,severidad,mensaje,detalle,modo_politica,contexto,id_movimiento,id_ahorro,id_cliente,id_prestamo,id_usuario,fecha_evento,fecha_movimiento_referencia,ip_origen
22,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1998 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4216,6,11113034548,1998,111113612603105,2026-07-01 16:52:53,2026-07-01,
24,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2006 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4214,253,11112724518,2006,111113612603105,2026-07-01 16:53:03,2026-07-01,
26,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1660 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4210,49,11112896316,1660,111113612603105,2026-07-01 16:53:21,2026-07-01,
28,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,confirmacion_movimiento,4206,265,11112961397,,111113612603105,2026-07-01 16:53:36,2026-07-01,
29,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2032 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4379,381,11113028141,2032,111113612603105,2026-07-06 17:00:19,2026-07-06,
30,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1313 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4380,361,11113188998,1313,111113612603105,2026-07-06 17:00:19,2026-07-06,
31,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2026 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_individual,4382,41,11113008354,2026,111113612603105,2026-07-06 17:14:04,2026-07-06,
32,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1814 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4385,147,11113207666,1814,111113612603105,2026-07-06 18:04:28,2026-07-06,
33,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2036 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4386,149,11112872200,2036,111113612603105,2026-07-06 18:04:28,2026-07-06,
34,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2034 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4388,154,11112952009,2034,111113612603105,2026-07-06 18:15:13,2026-07-06,
36,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2034 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4388,154,11112952009,2034,111113612603105,2026-07-06 18:17:44,2026-07-06,
37,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2045 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4391,84,11112935138,2045,111113612603105,2026-07-06 18:38:04,2026-07-06,
40,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,296,11112778298,,111113612603105,2026-07-06 18:49:21,2026-07-06,
41,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,retiro_grupal,4393,296,11112778298,,111113612603105,2026-07-06 18:52:27,2026-07-06,
42,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2041 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4395,169,11112828093,2041,111113612603105,2026-07-06 19:04:07,2026-07-06,
43,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2039 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4397,179,11113271100,2039,111113612603105,2026-07-06 19:20:45,2026-07-06,
44,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2030 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4400,88,11112819235,2030,111113612603105,2026-07-06 19:54:26,2026-07-06,
45,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2003 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4401,91,11112842761,2003,111113612603105,2026-07-06 19:54:26,2026-07-06,
47,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2003 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4401,91,11112842761,2003,111113612603105,2026-07-06 20:20:36,2026-07-06,
49,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2030 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4400,88,11112819235,2030,111113612603105,2026-07-06 20:20:47,2026-07-06,
51,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2039 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4397,179,11113271100,2039,111113612603105,2026-07-06 20:20:58,2026-07-06,
54,procedida,SALIDA_PRESTAMO_DESALINEADO,warning,El préstamo vinculado (#2041) no coincide con el vigente en esa fecha (#1510).,[object Object],advertencia,confirmacion_movimiento,4395,169,11112828093,2041,111113612603105,2026-07-06 20:21:12,2026-06-07,
55,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2041 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4395,169,11112828093,2041,111113612603105,2026-07-06 20:21:12,2026-06-07,
57,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,confirmacion_movimiento,4393,296,11112778298,,111113612603105,2026-07-06 20:21:22,2026-07-06,
59,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2045 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4391,84,11112935138,2045,111113612603105,2026-07-06 20:21:34,2026-07-06,
61,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2036 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4386,149,11112872200,2036,111113612603105,2026-07-06 20:21:43,2026-07-06,
63,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1814 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4385,147,11113207666,1814,111113612603105,2026-07-06 20:21:56,2026-07-06,
65,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2026 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4382,41,11113008354,2026,111113612603105,2026-07-06 20:22:05,2026-07-06,
67,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1313 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4380,361,11113188998,1313,111113612603105,2026-07-06 20:22:15,2026-07-06,
69,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2032 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4379,381,11113028141,2032,111113612603105,2026-07-06 20:22:24,2026-07-06,
70,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2017 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4407,230,11112893766,2017,111113612603105,2026-07-15 16:16:45,2026-07-15,84.17.44.229
71,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2018 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4408,423,11113037690,2018,111113612603105,2026-07-15 16:16:45,2026-07-15,84.17.44.229
72,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1276 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4409,397,11112958035,1276,111113612603105,2026-07-15 16:16:45,2026-07-15,84.17.44.229
73,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2058 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4410,233,11113139475,2058,111113612603105,2026-07-15 16:16:45,2026-07-15,84.17.44.229
75,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,161,11112822564,,111113612603105,2026-07-15 16:23:51,2026-07-15,84.17.44.229
76,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,retiro_grupal,4412,161,11112822564,,111113612603105,2026-07-15 16:28:19,2026-07-15,84.17.44.229
78,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,10,11113008579,,111113612603105,2026-07-15 16:40:59,2026-07-15,84.17.44.229
79,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,retiro_grupal,4415,10,11113008579,,111113612603105,2026-07-15 16:51:39,2026-07-15,84.17.44.229
80,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2053 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4416,20,11113232046,2053,111113612603105,2026-07-15 16:51:39,2026-07-15,84.17.44.229
81,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2070 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4418,252,11113209269,2070,111113612603105,2026-07-15 17:02:52,2026-07-15,84.17.44.228
82,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1496 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4424,199,11112902202,1496,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
83,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2075 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4425,292,11112939631,2075,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
84,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1440 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4426,197,11112971667,1440,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
85,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2011 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4427,190,11112924530,2011,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
86,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1438 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4428,192,11112773739,1438,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
87,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2021 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4431,164,11113045113,2021,111113612603105,2026-07-15 19:10:30,2026-07-15,84.17.44.226
89,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,474,11112954121,,111113612603105,2026-07-15 19:25:27,2026-07-15,84.17.44.226
91,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,474,11112954121,,111113612603105,2026-07-15 19:28:24,2026-07-15,84.17.44.226
92,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2057 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4437,426,11112897851,2057,111113612603105,2026-07-15 19:29:09,2026-07-15,84.17.44.226
93,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,retiro_grupal,4438,474,11112954121,,111113612603105,2026-07-15 19:29:09,2026-07-15,84.17.44.226
94,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2059 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4440,310,11112823381,2059,111113612603105,2026-07-15 19:37:41,2026-07-15,84.17.44.228
95,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2052 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_individual,4443,274,11112714005,2052,111113612603105,2026-07-15 19:46:27,2026-07-15,84.17.44.228
96,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2028 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_individual,4444,155,11112781039,2028,111113612603105,2026-07-15 19:48:33,2026-07-15,84.17.44.228
98,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2028 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4444,155,11112781039,2028,111113612603105,2026-07-20 17:45:14,2026-07-15,84.17.44.227
100,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2052 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4443,274,11112714005,2052,111113612603105,2026-07-20 17:45:21,2026-07-15,84.17.44.227
102,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2059 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4440,310,11112823381,2059,111113612603105,2026-07-20 17:45:28,2026-07-15,84.17.44.227
104,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,confirmacion_movimiento,4438,474,11112954121,,111113612603105,2026-07-20 17:45:35,2026-07-15,84.17.44.227
106,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2057 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4437,426,11112897851,2057,111113612603105,2026-07-20 17:45:41,2026-07-15,84.17.44.227
108,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2021 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4431,164,11113045113,2021,111113612603105,2026-07-20 17:45:47,2026-07-15,84.17.44.227
110,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1438 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4428,192,11112773739,1438,111113612603105,2026-07-20 17:45:52,2026-07-15,84.17.44.227
112,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2011 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4427,190,11112924530,2011,111113612603105,2026-07-20 17:45:58,2026-07-15,84.17.44.227
114,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2075 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4425,292,11112939631,2075,111113612603105,2026-07-20 17:46:08,2026-07-15,84.17.44.227
116,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1496 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4424,199,11112902202,1496,111113612603105,2026-07-20 17:46:12,2026-07-14,84.17.44.227
118,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2070 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4418,252,11113209269,2070,111113612603105,2026-07-20 17:46:18,2026-07-15,84.17.44.227
120,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2053 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4416,20,11113232046,2053,111113612603105,2026-07-20 17:46:23,2026-07-15,84.17.44.227
122,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,confirmacion_movimiento,4415,10,11113008579,,111113612603105,2026-07-20 17:46:29,2026-07-15,84.17.44.227
124,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,confirmacion_movimiento,4412,161,11112822564,,111113612603105,2026-07-20 17:46:34,2026-07-15,84.17.44.227
126,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2058 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4410,233,11113139475,2058,111113612603105,2026-07-20 17:46:39,2026-07-15,84.17.44.227
129,procedida,SALIDA_PRESTAMO_DESALINEADO,warning,El préstamo vinculado (#1276) no coincide con el vigente en esa fecha (#2079).,[object Object],advertencia,confirmacion_movimiento,4409,397,11112958035,1276,111113612603105,2026-07-20 17:46:45,2026-07-15,84.17.44.227
130,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1276 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4409,397,11112958035,1276,111113612603105,2026-07-20 17:46:45,2026-07-15,84.17.44.227
132,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2018 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4408,423,11113037690,2018,111113612603105,2026-07-20 17:46:51,2026-07-15,84.17.44.227
134,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2017 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,confirmacion_movimiento,4407,230,11112893766,2017,111113612603105,2026-07-20 17:46:57,2026-07-15,84.17.44.227
135,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2093 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4447,288,11113264674,2093,111113612603105,2026-07-21 15:38:22,2026-07-21,84.17.44.227
136,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2092 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4448,150,11113005497,2092,111113612603105,2026-07-21 15:38:22,2026-07-21,84.17.44.227
138,procedida,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],advertencia,creacion_deposito,,424,11112894601,,111113612603105,2026-07-21 16:08:02,2026-07-21,84.17.44.229
139,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1815 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4452,239,11113116034,1815,111113612603105,2026-07-21 16:12:12,2026-07-21,84.17.44.229
140,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1964 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4453,238,11113315176,1964,111113612603105,2026-07-21 16:12:12,2026-07-21,84.17.44.229
141,procedida,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],advertencia,retiro_grupal,4454,424,11112894601,,111113612603105,2026-07-21 16:12:12,2026-07-21,84.17.44.229
142,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1406 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4462,28,11112622956,1406,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
143,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1407 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4463,29,11112626649,1407,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
144,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1863 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4464,26,11112658700,1863,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
145,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1403 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4465,25,11112748267,1403,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
146,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1404 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4466,277,11112754934,1404,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
147,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1932 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4467,276,11113022524,1932,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
148,procedida,LOAN_NOT_RELEASED,warning,El préstamo #1400 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4468,24,11113101306,1400,111113612603105,2026-07-21 16:46:32,2026-07-21,84.17.44.229
149,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2089 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4470,245,11113115541,2089,111113612603105,2026-07-21 16:52:58,2026-07-21,84.17.44.228
150,procedida,LOAN_NOT_RELEASED,warning,El préstamo #2088 aún no está en ventana de renovación para retiro de garantía.,[object Object],advertencia,retiro_grupal,4473,21,11113052056,2088,111113612603105,2026-07-21 17:10:12,2026-07-21,84.17.44.228
